college_gsis_id,rookie_season,player_name,position,draft_season,draft_round,draft_overall_selection,scrambles,qb_pressures,qb_pressure_to_sack_rate,inside_runs,outside_runs,change_of_direction_runs,designed_qb_runs,man_coverage_targets,zone_coverage_targets,pressures_allowed,pressures,pressure_rate,run_defense_tackles,primary_in_coverage_total,man_coverage_responsibility_total,primary_in_coverage_yards_allowed,total_snaps,passing_attempts,passing_dropbacks,passing_completions,passing_completion_percentage,passing_yards,passing_touchdowns,passing_sacks,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_yards_per_route_run,receiving_touchdowns,receiving_yards_after_catch,defense_interceptions,defense_pass_breakups
280676,2022,Reed Blankenship,DS,2022,,,,,,,,,,,,,,,17,9,12,61,380,,,,,,,,,,,,,,,,,,1,2
280487,2024,Jacob Kibodi,RB,2024,,,,,,3,2,1,0,1,1,,,,,,,,17,,,,,,,,,5,24,,3,1,15,1.875,,11,,
305851,2023,Dante Stills,DT,2023,6,213,,,,,,,,,,,19,0.072796935,38,,,,601,,,,,,,,,,,,,,,,,,,
304268,2022,Percy Butler,DS,2022,4,113,,,,,,,,,,,1,0.5,3,4,6,19,407,,,,,,,,,,,,,,,,,,,1
283383,2022,Jeff Gunter,DE,2022,7,252,,,,,,,,,,,,,1,1,,21,115,,,,,,,,,,,,,,,,,,,
327674,2023,A.T. Perry,WR,2023,6,195,,,,,,,,7,11,,,,,,,,343,,,,,,,,,,,,18,12,246,1.23,4,20,,
338552,2024,Daijahn Anthony,DS,2024,7,224,,,,,,,,,,,,,,,5,,180,,,,,,,,,,,,,,,,,,,1
326095,2024,Dylan McMahon,OC,2024,6,190,,,,,,,,,,3,,,,,,,71,,,,,,,,,,,,,,,,,,,
332464,2022,D'Anthony Bell,DS,2022,,,,,,,,,,,,,,,3,2,16,27,321,,,,,,,,,,,,,,,,,,,
350698,2024,Dwight McGlothern,DC,2024,,,,,,,,,,,,,,,,2,3,0,35,,,,,,,,,,,,,,,,,,,1
300935,2020,Mykal Walker,OB,2020,4,119,,,,,,,,,,,5,0.089285714,20,16,31,74,570,,,,,,,,,,,,,,,,,,,1
305064,2023,Charlie Thomas,IB,2023,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
194644,2020,Rashad Smith,IB,2020,,,,,,,,,,,,,,,,1,1,5,35,,,,,,,,,,,,,,,,,,,
286005,2022,Sam Roberts,DE,2022,6,200,,,,,,,,,,,1,0.035714286,2,,,,50,,,,,,,,,,,,,,,,,,,
281890,2020,Yasir Durant,OT,2020,,,,,,,,,,,,3,,,,,,,147,,,,,,,,,,,,,,,,,,,
301104,2023,Ochaun Mathis,DE,2023,6,189,,,,,,,,,,,7,0.14,1,,,,93,,,,,,,,,,,,,,,,,,,
194713,2020,Tre'Vour Wallace-Simms,OG,2020,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
304482,2022,Jelani Woods,TE,2022,3,73,,,,,,,,10,26,2,,,,,,,356,,,,,,,,,,,,40,25,312,1.5522388059701493,3,120,,
304504,2022,Micah McFadden,IB,2022,5,146,,,,,,,,,,,6,0.14285714285714285,36,26,37,279,552,,,,,,,,,,,,,,,,,,,
340221,2023,Mekhi Garner,DC,2023,,,,,,,,,,,,,,,,1,2,0,72,,,,,,,,,,,,,,,,,,,
326444,2023,Nic Jones,DC,2023,7,250,,,,,,,,,,,1,0.25,1,4,12,39,178,,,,,,,,,,,,,,,,,,,
327662,2024,Dadrion Taylor-Demerson,DS,2024,4,104,,,,,,,,,,,,,18,21,14,172,544,,,,,,,,,,,,,,,,,,,5
285545,2022,De'Shaan Dixon,DE,2022,,,,,,,,,,,,,,,1,,,,29,,,,,,,,,,,,,,,,,,,
325463,2024,Walter Rouse,OT,2024,6,177,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
280286,2022,Ryder Anderson,DT,2022,,,,,,,,,,,,,6,0.092307692,4,,,,178,,,,,,,,,,,,,,,,,,,
196603,2020,Carlos Davis,DT,2020,7,232,,,,,,,,,,,,,5,,,,56,,,,,,,,,,,,,,,,,,,
356720,2024,Jalen Coker,WR,2024,,,0,0,,,,,,16,28,,,,,,,,461,1,1,1,1,19,,,,,,,46,32,478,1.9274193548387097,2,171,,
289423,2022,Nick Muse,TE,2022,7,227,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,
304349,2023,Jake Bobo,WR,2023,,,,,,,,,0,5,19,1,,,,,,,442,,,,,,,,,1,3,1,25,19,196,1.410071942446043,2,87,,
337575,2020,Juwan Johnson,WR,2020,,,,,,,,,,5,5,,,,,,,,248,,,,,,,,,,,,10,4,39,,,19,,
305405,2023,Deneric Prince,RB,2023,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
301886,2023,Colby Sorsdal,OT,2023,5,152,,,,,,,,,,13,,,,,,,327,,,,,,,,,,,,,,,,,,,
350269,2024,Curtis Jacobs,IB,2024,,,,,,,,,,,,,,,,1,1,9,159,,,,,,,,,,,,,,,,,,,
289665,2023,Chandler Zavala,OG,2023,4,114,,,,,,,,,,30,,,,,,,403,,,,,,,,,,,,,,,,,,,
312167,2024,Khristian Boyd,DT,2024,6,199,,,,,,,,,,,2,0.055555556,3,,,,74,,,,,,,,,,,,,,,,,,,
305277,2023,P.J. Mustipher,DT,2023,,,,,,,,,,,,,1,0.058823529411764705,4,,,,43,,,,,,,,,,,,,,,,,,,
282442,2022,Theo Jackson,DC,2022,6,204,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,
306298,2024,Solomon Byrd,DE,2024,7,238,,,,,,,,,,,1,0.1111111111111111,2,,,,21,,,,,,,,,,,,,,,,,,,1
305339,2024,Xavier Thomas,DE,2024,5,138,,,,,,,,,,,12,0.096,5,5,3,50,231,,,,,,,,,,,,,,,,,,,1
311473,2022,Jack Sanborn,IB,2022,,,,,,,,,,,,,3,0.17647058823529413,32,22,15,223,483,,,,,,,,,,,,,,,,,,,
194907,2020,Bryce Huff,DE,2020,,,,,,,,,,,,,11,0.067484663,7,7,3,74,382,,,,,,,,,,,,,,,,,,,1
195806,2020,Stantley Thomas-Oliver,DC,2020,7,221,,,,,,,,,,,,,1,6,11,41,182,,,,,,,,,,,,,,,,,,,
304880,2023,Kahlef Hailassie,DS,2023,,,,,,,,,,,,,,,2,8,20,29,206,,,,,,,,,,,,,,,,,,,1
326531,2024,Casey Washington,WR,2024,6,187,,,,,,,,,2,,,,,,,,56,,,,,,,,,,,,2,1,14,4.666666666666667,,11,,
326651,2023,Kei'Trel Clark,DC,2023,6,180,,,,,,,,,,,,,10,40,73,340,556,,,,,,,,,,,,,,,,,,,4
308112,2024,Tyrone Tracy,RB,2024,5,166,,,,110,80,18,2,11,41,7,,,,,,,673,,,,,,,,,192,839,5,53,38,284,1.0441176470588236,1,281,,
263288,2020,Rico Dowdle,RB,2020,,,,,,6,1,2,0,,,,,,,,,,212,,,,,,,,,7,24,,,,,,,,,
300641,2020,Luq Barcoo,DC,2020,,,,,,,,,,,,,,,3,14,35,144,152,,,,,,,,,,,,,,,,,,,1
195188,2020,Luke Juriga,OC,2020,,,,,,,,,,,,1,,,,,,,48,,,,,,,,,,,,,,,,,,,
