college_gsis_id,position,player_name,season,team,school_code,passing_attempts,passing_completions,passing_yards,passing_completion_percentage,passing_touchdowns,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_receptions,receiving_touchdowns,receiving_yards,defense_pass_breakups,defense_qb_hurries,defense_sacks,defense_solo_tackles,defense_total_tackles,defense_tackles_for_loss,defense_interceptions,defense_touchdowns,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_touchdowns,kickreturns_yards,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,total_fumbles,total_fumbles_lost
258824,WR,Chris Finke,2017,Notre Dame,INND,,,,,,,,,,6,0,102,,,,,,,,,,,,,,6.5,41,24,0,156,1,1
258824,WR,Chris Finke,2018,Notre Dame,INND,,,,,,,5,20,0,49,2,571,0,0,0,4,4,0,,0,,,,,,9.3,52,21,0,196,,
258824,WR,Chris Finke,2019,Notre Dame,INND,,,,,,,2,2,0,41,4,456,,,,,,,,,0,0,3,0,0,9,46,20,0,180,1,1
258825,RB,Tony Jones Jr.,2017,Notre Dame,INND,,,,,,,44,232,3,6,0,12,0,0,0,4,7,0,,0,9,16,2,0,18,,,,,,,
258825,RB,Tony Jones Jr.,2018,Notre Dame,INND,,,,,,,83,392,3,6,1,157,,,,,,,,,,,,,,,,,,,,
258825,RB,Tony Jones Jr.,2019,Notre Dame,INND,,,,,,,144,857,6,15,1,104,0,0,0,2,2,0,,0,,,,,,,,,,,,
259226,RB,James Robinson,2018,Illinois State,ILST,,,,,,,22,184,2,1,0,11,,,,,,,,,,,,,,,,,,,,
259226,RB,James Robinson,2019,Illinois State,ILST,,,,,,,13,16,0,2,0,10,,,,,,,,,,,,,,,,,,,,
259353,WR,Isaiah Wright,2017,Temple,PATE,4,2,-5,0.5,0,0,25,188,1,46,4,668,0,0,0,0,1,0.5,,2,24.9,98,13,1,324,9.9,72,11,1,109,3,1
259353,WR,Isaiah Wright,2018,Temple,PATE,1,0,0,0,0,0,19,84,1,33,3,368,0,0,0,0,0,0,,3,26.5,99,33,1,873,13.1,73,19,2,249,3,2
259353,WR,Isaiah Wright,2019,Temple,PATE,,,,,,,5,48,0,46,5,440,0,0,0,3,3,0,,0,20.5,55,27,0,554,6.3,18,11,0,69,4,1
259406,WR,Derrick Dillon,2017,LSU,LAST,,,,,,,15,86,0,14,0,125,,,,,,,,,,,,,,,,,,,1,1
259406,WR,Derrick Dillon,2018,LSU,LAST,,,,,,,3,1,0,22,2,307,,,,,,,,,,,,,,,,,,,,
259406,WR,Derrick Dillon,2019,LSU,LAST,,,,,,,,,,15,2,202,0,0,0,1,1,0,,0,,,,,,,,,,,,
259451,DC,Parnell Motley,2017,Oklahoma,OKUN,,,,,,,,,,,,,9,0,0,49,63,4.5,2,1,,,,,,,,,,,,
259451,DC,Parnell Motley,2018,Oklahoma,OKUN,,,,,,,,,,,,,11,0,0,42,63,1.5,2,0,,,,,,,,,,,,
259451,DC,Parnell Motley,2019,Oklahoma,OKUN,,,,,,,,,,,,,13,0,0,31,41,1.5,1,0,,,,,,,,,,,0,0
262441,OT,Evin Ksiezarczyk,2017,Buffalo,NYBU,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
263230,WR,Binjimen Victor,2017,Ohio State,OHST,,,,,,,,,,23,7,349,,,,,,,,,,,,,,,,,,,,
263230,WR,Binjimen Victor,2018,Ohio State,OHST,,,,,,,,,,21,4,354,,,,,,,,,,,,,,,,,,,,
263230,WR,Binjimen Victor,2019,Ohio State,OHST,,,,,,,,,,35,6,573,,,,,,,,,,,,,,,,,,,,
263288,RB,Rico Dowdle,2017,South Carolina,SCUN,,,,,,,66,251,2,11,1,128,0,0,0,0,1,0,,0,21,21,1,0,21,,,,,,,
263288,RB,Rico Dowdle,2018,South Carolina,SCUN,,,,,,,123,654,4,14,1,133,0,0,0,1,1,0,,0,,,,,,,,,,,3,3
263288,RB,Rico Dowdle,2019,South Carolina,SCUN,,,,,,,106,498,4,22,0,167,,,,,,,,,,,,,,,,,,,2,1
263708,TE,Parker Houston,2017,San Diego State,CASS,,,,,,,,,,6,0,56,,,,,,,,,5.5,11,2,0,11,,,,,,,
263708,TE,Parker Houston,2018,San Diego State,CASS,,,,,,,,,,16,2,178,,,,,,,,,14,14,1,0,14,,,,,,,
263708,TE,Parker Houston,2019,San Diego State,CASS,,,,,,,,,,18,0,154,0,0,0,1,1,0,,0,,,,,,,,,,,,
266273,OT,Jon Runyan,2019,Michigan,MIUN,,,,,,,1,-9,0,,,,,,,,,,,,,,,,,,,,,,1,0
279737,DT,John Penisini,2017,Utah,UTUN,,,,,,,,,,,,,0,0,1,1,4,1,,0,,,,,,,,,,,0,0
279737,DT,John Penisini,2018,Utah,UTUN,,,,,,,,,,,,,1,1,2,19,38,7,,0,,,,,,,,,,,,
279737,DT,John Penisini,2019,Utah,UTUN,,,,,,,,,,,,,1,0,2,9,38,7,,0,,,,,,,,,,,,
279801,DE,BJ Thompson,2017,Baylor,TXBA,,,,,,,,,,,,,1,0,0,2,3,1,,0,,,,,,,,,,,,
279801,DE,BJ Thompson,2018,Baylor,TXBA,,,,,,,,,,,,,1,2,3,8,13,4,,0,,,,,,6,6,1,0,6,,
279842,TE,Josh Falo,2017,USC,CASC,,,,,,,,,,4,2,65,0,0,0,0,1,0,,0,,,,,,,,,,,,
279842,TE,Josh Falo,2018,USC,CASC,,,,,,,,,,9,0,121,,,,,,,,,,,,,,,,,,,1,1
279842,TE,Josh Falo,2019,USC,CASC,,,,,,,,,,4,1,23,0,0,0,0,1,0,,0,,,,,,,,,,,,
279842,TE,Josh Falo,2022,USC,CASC,,,,,,,1,5,0,4,2,30,,,,,,,,,,,,,,,,,,,,
280026,DS,Bennett Williams,2017,Illinois,ILUN,,,,,,,,,,,,,2,1,0,34,64,1.5,3,0,,,,,,,,,,,,
280026,DS,Bennett Williams,2018,Illinois,ILUN,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,,
280026,DS,Bennett Williams,2020,Oregon,ORUN,,,,,,,,,,,,,2,0,0,7,14,1,,0,,,,,,,,,,,,
280026,DS,Bennett Williams,2021,Oregon,ORUN,,,,,,,,,,,,,0,0,0,16,20,1,3,1,,,,,,,,,,,,
280026,DS,Bennett Williams,2022,Oregon,ORUN,,,,,,,,,,,,,6,0,1,45,67,1.5,2,0,,,,,,,,,,,,
280037,WR,Keith Gavin,2017,Florida State,FLST,,,,,,,1,6,0,27,0,278,,,,,,,,,25.4,81,7,0,178,,,,,,1,1
280037,WR,Keith Gavin,2018,Florida State,FLST,,,,,,,,,,26,1,415,,,,,,,,,,,,,,,,,,,1,1
280037,WR,Keith Gavin,2019,Florida State,FLST,,,,,,,,,,18,0,208,,,,,,,,,,,,,,,,,,,1,1
280153,RB,Jordan Mims,2017,Fresno State,CAFR,,,,,,,151,627,6,14,0,143,,,,,,,,,15.3,22,3,0,46,,,,,,2,0
280153,RB,Jordan Mims,2018,Fresno State,CAFR,,,,,,,113,436,6,21,2,286,0,0,0,1,2,0,,0,,,,,,,,,,,1,0
280153,RB,Jordan Mims,2020,Fresno State,CAFR,,,,,,,28,145,1,9,1,85,,,,,,,,,,,,,,,,,,,1,1
280153,RB,Jordan Mims,2021,Fresno State,CAFR,,,,,,,127,710,6,25,4,324,,,,,,,,,17.8,37,16,0,285,,,,,,,
280153,RB,Jordan Mims,2022,Fresno State,CAFR,,,,,,,260,1371,18,20,1,117,,,,,,,,,,,,,,,,,,,1,0
280465,OG,Earl Bostick,2017,Kansas,KSUN,,,,,,,,,,1,1,8,0,0,0,1,1,0,,0,,,,,,,,,,,,
280465,OG,Earl Bostick,2019,Kansas,KSUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
280465,OG,Earl Bostick,2020,Kansas,KSUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,0,0
280465,OG,Earl Bostick,2022,Kansas,KSUN,,,,,,,,,,,,,0,0,0,2,2,0,,0,,,,,,,,,,,,
280487,RB,Jacob Kibodi,2017,Texas A&M,TXAM,,,,,,,11,121,1,1,0,0,0,0,0,0,1,0,,0,,,,,,,,,,,1,1
280487,RB,Jacob Kibodi,2018,Texas A&M,TXAM,,,,,,,3,26,0,,,,,,,,,,,,,,,,,,,,,,,
280487,RB,Jacob Kibodi,2019,Texas A&M,TXAM,,,,,,,31,123,1,6,0,37,,,,,,,,,,,,,,,,,,,,
280487,RB,Jacob Kibodi,2022,Louisiana,LASW,,,,,,,37,169,0,3,0,16,0,0,0,2,2,0,,0,17,17,1,0,17,,,,,,,
280487,RB,Jacob Kibodi,2023,Louisiana,LASW,,,,,,,129,729,7,9,1,79,,,,,,,,,,,,,,,,,,,,
280911,IB,Kyle Soelle,2018,Arizona State,AZST,,,,,,,,,,,,,0,0,2,13,15,3,,0,,,,,,,,,,,,
280911,IB,Kyle Soelle,2019,Arizona State,AZST,,,,,,,,,,,,,2,0,1,15,20,2,,0,,,,,,,,,,,,
280911,IB,Kyle Soelle,2020,Arizona State,AZST,,,,,,,,,,,,,0,0,0,14,26,0,1,0,,,,,,,,,,,,
280911,IB,Kyle Soelle,2021,Arizona State,AZST,,,,,,,,,,,,,4,2,1,43,88,8,1,0,1,1,1,0,1,,,,,,1,1
280911,IB,Kyle Soelle,2022,Arizona State,AZST,,,,,,,,,,,,,2,2,0,56,110,3,2,0,,,,,,,,,,,,
281714,DE,Andre Jones,2017,Louisiana,LASW,,,,,,,,,,,,,0,0,0,5,9,0.5,,0,,,,,,,,,,,,
281714,DE,Andre Jones,2018,Louisiana,LASW,,,,,,,,,,,,,0,0,0,1,4,1,,0,,,,,,,,,,,,
281714,DE,Andre Jones,2019,Louisiana,LASW,,,,,,,,,,,,,1,3,2,23,42,7,,0,,,,,,,,,,,,
281714,DE,Andre Jones,2020,Louisiana,LASW,,,,,,,,,,,,,1,3,2,22,43,3.5,,0,,,,,,,,,,,,
281714,DE,Andre Jones,2021,Louisiana,LASW,,,,,,,,,,,,,4,5,6,35,60,9.5,,0,,,,,,,,,,,0,0
281714,DE,Andre Jones,2022,Louisiana,LASW,,,,,,,,,,,,,1,2,6.5,21,48,7.5,1,0,,,,,,,,,,,,
281890,OT,Yasir Durant,2018,Missouri,MOUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
282033,OT,Alex Palczewski,2017,Illinois,ILUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
282033,OT,Alex Palczewski,2018,Illinois,ILUN,,,,,,,,,,,,,0,0,0,3,3,0,,0,,,,,,,,,,,,
282033,OT,Alex Palczewski,2020,Illinois,ILUN,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,,
282536,DC,Lavert Hill,2017,Michigan,MIUN,,,,,,,,,,,,,6,0,0,15,25,5,2,1,,,,,,,,,,,,
282536,DC,Lavert Hill,2018,Michigan,MIUN,,,,,,,,,,,,,4,0,0,10,14,1,1,1,14,14,1,0,14,,,,,,,
282536,DC,Lavert Hill,2019,Michigan,MIUN,,,,,,,,,,,,,10,0,0,10,16,1,3,0,,,,,,-0.3,0,3,0,-1,1,1
289381,TE,Travis Vokolek,2017,Rutgers,NJRU,,,,,,,,,,1,0,14,,,,,,,,,,,,,,,,,,,,
289381,TE,Travis Vokolek,2018,Rutgers,NJRU,,,,,,,,,,16,2,184,,,,,,,,,,,,,,,,,,,,
289381,TE,Travis Vokolek,2020,Nebraska,NEUN,,,,,,,,,,9,0,91,,,,,,,,,,,,,,,,,,,,
289381,TE,Travis Vokolek,2021,Nebraska,NEUN,,,,,,,,,,11,0,127,,,,,,,,,,,,,,,,,,,,
289381,TE,Travis Vokolek,2022,Nebraska,NEUN,,,,,,,,,,20,2,240,,,,,,,,,,,,,,,,,,,,
289665,OG,Chandler Zavala,2022,NC State,NCST,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
294398,DT,Devonnsha Maxwell,2019,Chattanooga,TNCH,,,,,,,,,,,,,0,0,0,1,2,0,,0,,,,,,,,,,,,
294398,DT,Devonnsha Maxwell,2021,Chattanooga,TNCH,,,,,,,,,,,,,0,0,0,1,2,1.5,,0,,,,,,,,,,,,
294398,DT,Devonnsha Maxwell,2022,Chattanooga,TNCH,,,,,,,,,,,,,0,1,2,4,4,2,,0,,,,,,,,,,,,
295677,TE,Princeton Fant,2018,Tennessee,TNUN,,,,,,,3,7,0,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
295677,TE,Princeton Fant,2019,Tennessee,TNUN,,,,,,,,,,2,0,15,,,,,,,,,,,,,,,,,,,,
295677,TE,Princeton Fant,2020,Tennessee,TNUN,,,,,,,,,,11,1,94,,,,,,,,,,,,,,,,,,,,
295677,TE,Princeton Fant,2021,Tennessee,TNUN,1,0,0,0,0,0,,,,16,1,220,0,0,0,0,1,0,,0,,,,,,,,,,,,
295677,TE,Princeton Fant,2022,Tennessee,TNUN,1,1,66,1,1,0,6,17,5,22,3,241,,,,,,,,,,,,,,,,,,,1,1
297505,DS,Tyreque Jones,2017,Boise State,IDBO,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
297505,DS,Tyreque Jones,2018,Boise State,IDBO,,,,,,,2,8,0,,,,1,0,0,17,29,0,,0,,,,,,,,,,,0,0
297505,DS,Tyreque Jones,2019,Boise State,IDBO,,,,,,,,,,,,,2,0,1,24,27,4.5,1,0,,,,,,,,,,,0,0
297505,DS,Tyreque Jones,2020,Boise State,IDBO,,,,,,,,,,,,,1,0,0,5,10,0,,0,,,,,,,,,,,,
297505,DS,Tyreque Jones,2021,Boise State,IDBO,,,,,,,,,,,,,6,0,0,40,52,3,2,1,,,,,,7,7,1,1,7,,
297505,DS,Tyreque Jones,2022,Boise State,IDBO,,,,,,,,,,,,,3,0,0,18,33,4.5,1,0,,,,,,,,,,,,
300374,RB,Xazavian Valladay,2018,Wyoming,WYUN,,,,,,,71,396,3,4,0,35,0,0,0,2,2,0,,0,,,,,,,,,,,1,0
300374,RB,Xazavian Valladay,2019,Wyoming,WYUN,,,,,,,247,1265,6,11,2,211,0,0,0,1,1,0,,0,13,13,1,0,13,,,,,,1,1
300374,RB,Xazavian Valladay,2020,Wyoming,WYUN,,,,,,,99,550,4,13,0,105,0,0,0,1,3,0.5,,0,,,,,,,,,,,1,1
300374,RB,Xazavian Valladay,2021,Wyoming,WYUN,,,,,,,209,1070,6,23,0,233,0,0,0,2,2,0,,0,0,0,1,0,0,,,,,,3,1
300374,RB,Xazavian Valladay,2022,Arizona State,AZST,,,,,,,215,1192,16,37,2,289,0,0,0,1,1,0,,0,,,,,,,,,,,1,1
300511,TE,Dallin Holker,2018,BYU,UTBY,,,,,,,,,,19,1,235,,,,,,,,,,,,,,,,,,,1,1
300511,TE,Dallin Holker,2021,BYU,UTBY,,,,,,,1,15,0,14,1,200,,,,,,,,,,,,,,,,,,,,
300511,TE,Dallin Holker,2022,BYU,UTBY,,,,,,,,,,9,1,86,,,,,,,,,,,,,,,,,,,,
300511,TE,Dallin Holker,2023,Colorado State,COST,,,,,,,1,1,1,64,6,767,0,0,0,3,3,0,,0,,,,,,,,,,,2,2
300559,QB,James Morgan,2017,Bowling Green,OHBG,212,96,1260,0.453,9,7,26,-37,0,,,,,,,,,,,,,,,,,,,,,,3,1
300559,QB,James Morgan,2018,Florida International,FLIN,326,213,2727,0.653,26,7,29,-40,1,,,,,,,,,,,,,,,,,,,,,,4,0
300559,QB,James Morgan,2019,Florida International,FLIN,357,207,2560,0.58,14,5,31,-34,2,,,,,,,,,,,,,,,,,,,,,,7,3
300563,TE,Daniel Barker,2018,Illinois,ILUN,,,,,,,,,,9,1,84,,,,,,,,,,,,,,,,,,,1,0
300563,TE,Daniel Barker,2019,Illinois,ILUN,,,,,,,,,,18,4,273,,,,,,,,,0,0,1,0,0,,,,,,,
300563,TE,Daniel Barker,2020,Illinois,ILUN,,,,,,,,,,19,2,268,0,0,0,0,1,0,,0,,,,,,,,,,,,
300563,TE,Daniel Barker,2021,Illinois,ILUN,,,,,,,3,18,1,18,4,202,,,,,,,,,,,,,,,,,,,,
300563,TE,Daniel Barker,2022,Michigan State,MIST,,,,,,,2,1,0,21,2,239,0,0,0,1,1,0,,0,,,,,,,,,,,,
300632,DC,Terell Smith,2018,Minnesota,MNUN,,,,,,,,,,,,,8,0,0,34,43,2,1,0,,,,,,,,,,,,
300632,DC,Terell Smith,2019,Minnesota,MNUN,,,,,,,,,,,,,1,0,0,7,9,0,,0,,,,,,,,,,,,
300632,DC,Terell Smith,2020,Minnesota,MNUN,,,,,,,,,,,,,0,0,0,3,3,0,,0,,,,,,,,,,,,
300632,DC,Terell Smith,2021,Minnesota,MNUN,,,,,,,,,,,,,2,0,0,11,16,0,1,0,,,,,,,,,,,0,0
300632,DC,Terell Smith,2022,Minnesota,MNUN,,,,,,,,,,,,,5,0,2,34,38,4.5,2,0,,,,,,,,,,,,
300641,DC,Luqman Barcoo,2018,San Diego State,CASS,,,,,,,,,,,,,4,1,0,12,20,0,1,0,,,,,,,,,,,,
300641,DC,Luqman Barcoo,2019,San Diego State,CASS,,,,,,,,,,,,,16,0,0.5,43,55,5,9,0,,,,,,,,,,,,
300693,DS,Christian Izien,2019,Rutgers,NJRU,,,,,,,,,,,,,3,0,0,49,76,1,,0,,,,,,,,,,,,
300693,DS,Christian Izien,2020,Rutgers,NJRU,,,,,,,,,,,,,4,1,0,45,65,0.5,4,0,,,,,,,,,,,0,0
300693,DS,Christian Izien,2021,Rutgers,NJRU,,,,,,,,,,,,,4,2,0,49,69,8,,0,,,,,,,,,,,,
300693,DS,Christian Izien,2022,Rutgers,NJRU,,,,,,,,,,,,,5,1,1.5,54,86,5,,0,,,,,,,,,,,,
300705,QB,Tommy DeVito,2018,Syracuse,NYSY,86,44,525,0.512,4,3,24,-15,1,,,,,,,,,,,,,,,,,,,,,,,
300705,QB,Tommy DeVito,2019,Syracuse,NYSY,337,213,2360,0.632,19,5,112,122,2,1,0,4,0,0,0,1,1,0,,0,,,,,,,,,,,3,2
300705,QB,Tommy DeVito,2020,Syracuse,NYSY,96,48,593,0.5,4,2,43,23,0,1,0,10,,,,,,,,,,,,,,,,,,,,
300705,QB,Tommy DeVito,2021,Syracuse,NYSY,52,32,388,0.615,1,2,21,90,1,,,,,,,,,,,,,,,,,,,,,,1,1
300705,QB,Tommy DeVito,2022,Illinois,ILUN,367,255,2619,0.695,15,4,73,35,6,,,,,,,,,,,,,,,,,,,,,,3,2
300722,DC,D'Shawn Jamison,2018,Texas,TXUN,,,,,,,4,8,0,4,0,5,0,0,0,0,0,0,,1,20.2,26,10,0,202,13.1,90,9,1,118,1,0
300722,DC,D'Shawn Jamison,2019,Texas,TXUN,,,,,,,,,,,,,1,1,0,26,32,2.5,3,1,27.2,98,9,1,245,25.5,71,4,0,102,1,0
300722,DC,D'Shawn Jamison,2020,Texas,TXUN,,,,,,,,,,,,,6,0,0,25,31,0.5,,1,33.2,100,17,1,564,3.2,16,17,0,55,1,1
300722,DC,D'Shawn Jamison,2021,Texas,TXUN,,,,,,,,,,,,,1,1,0,35,49,0,1,0,22.3,38,19,0,424,8.8,43,12,0,105,2,0
300722,DC,D'Shawn Jamison,2022,Texas,TXUN,,,,,,,,,,,,,7,0,1,17,19,2,2,1,,,,,,5,10,2,0,10,,
300834,OT,Jaxson Kirkland,2018,Washington,WAUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
300834,OT,Jaxson Kirkland,2020,Washington,WAUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
300853,TE,Dominick Wood-Anderson,2018,Tennessee,TNUN,,,,,,,,,,17,2,140,,,,,,,,,,,,,,,,,,,,
300853,TE,Dominick Wood-Anderson,2019,Tennessee,TNUN,,,,,,,1,5,0,21,1,268,,,,,,,,,,,,,,,,,,,,
300935,OB,Mykal Walker,2018,Fresno State,CAFR,,,,,,,,,,,,,6,5,4,38,86,13.5,1,1,,,,,,-1,0,1,0,-1,0,0
300935,OB,Mykal Walker,2019,Fresno State,CAFR,,,,,,,,,,,,,4,3,2.5,56,96,9,,0,,,,,,,,,,,0,0
300985,DC,Anthony Adams,2018,Portland State,ORPS,,,,,,,,,,,,,1,0,0,7,7,1,,0,,,,,,,,,,,,
300985,DC,Anthony Adams,2019,Portland State,ORPS,,,,,,,,,,,,,3,0,0,3,6,0,,0,,,,,,,,,,,,
300985,DC,Anthony Adams,2021,Portland State,ORPS,,,,,,,,,,,,,0,0,0,2,5,0,2,0,,,,,,,,,,,0,0
300985,DC,Anthony Adams,2022,Portland State,ORPS,,,,,,,,,,,,,2,0,0,14,15,1,,0,,,,,,,,,,,,
301000,DT,Kobie Turner,2018,Richmond,VARI,,,,,,,,,,,,,0,0,0,1,2,0,,0,,,,,,,,,,,,
301000,DT,Kobie Turner,2019,Richmond,VARI,,,,,,,,,,,,,0,0,0,1,7,0,,0,,,,,,,,,,,,
301000,DT,Kobie Turner,2021,Richmond,VARI,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,0,0
301000,DT,Kobie Turner,2022,Wake Forest,NCWF,,,,,,,,,,,,,2,8,2,17,34,8,,0,,,,,,,,,,,0,0
301104,DE,Ochaun Mathis,2018,TCU,TXCU,,,,,,,,,,,,,0,0,0,1,4,0.5,,0,,,,,,,,,,,,
301104,DE,Ochaun Mathis,2019,TCU,TXCU,,,,,,,,,,,,,1,6,2.5,20,40,9,,0,,,,,,,,,,,,
301104,DE,Ochaun Mathis,2020,TCU,TXCU,,,,,,,,,,,,,0,2,5,22,38,10,,0,,,,,,,,,,,0,0
301104,DE,Ochaun Mathis,2021,TCU,TXCU,,,,,,,,,,,,,3,4,4,30,45,7,,0,,,,,,,,,,,,
301104,DE,Ochaun Mathis,2022,Nebraska,NEUN,,,,,,,,,,,,,2,6,3.5,24,50,5,,0,,,,,,,,,,,,
301556,DE,Brevin Allen,2018,Campbell,NCCM,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,,
301556,DE,Brevin Allen,2019,Campbell,NCCM,,,,,,,,,,,,,0,0,0,1,3,0.5,,0,,,,,,,,,,,,
301556,DE,Brevin Allen,2020,Campbell,NCCM,,,,,,,,,,,,,0,0,0,8,17,0,,0,,,,,,,,,,,,
301556,DE,Brevin Allen,2022,Campbell,NCCM,,,,,,,,,,,,,0,0,0,1,2,0,1,0,,,,,,,,,,,,
304245,OC,Christaphany Murray,2019,UCLA,CALA,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
304297,IB,Isaiah Moore,2018,NC State,NCST,,,,,,,,,,,,,2,6,2.5,37,69,7.5,,0,,,,,,,,,,,0,0
304297,IB,Isaiah Moore,2019,NC State,NCST,,,,,,,,,,,,,0,4,2,26,53,5,,0,,,,,,,,,,,,
304297,IB,Isaiah Moore,2020,NC State,NCST,,,,,,,,,,,,,2,4,3,38,94,11,,0,,,,,,,,,,,0,0
304297,IB,Isaiah Moore,2021,NC State,NCST,,,,,,,,,,,,,3,7,1,20,43,5,1,0,,,,,,,,,,,,
304297,IB,Isaiah Moore,2022,NC State,NCST,,,,,,,,,,,,,3,6,3,37,71,13.5,,0,,,,,,,,,,,,
304349,WR,Jake Bobo,2018,Duke,NCDU,,,,,,,,,,10,1,167,,,,,,,,,19,19,1,0,19,4.7,7,3,0,14,,
304349,WR,Jake Bobo,2019,Duke,NCDU,1,0,0,0,0,0,,,,10,0,122,,,,,,,,,,,,,,10.5,14,2,0,21,,
304349,WR,Jake Bobo,2020,Duke,NCDU,,,,,,,,,,31,1,348,,,,,,,,,,,,,,38,9,2,0,76,1,1
304349,WR,Jake Bobo,2021,Duke,NCDU,,,,,,,,,,74,1,794,0,0,0,0,2,0,,0,,,,,,,,,,,,
304349,WR,Jake Bobo,2022,UCLA,CALA,,,,,,,,,,57,7,817,,,,,,,,,,,,,,5,13,3,0,15,1,1
304353,DE,Brenton Cox,2018,Georgia,GAUN,,,,,,,,,,,,,3,0,1,7,20,2,,0,,,,,,,,,,,,
304353,DE,Brenton Cox,2020,Florida,FLUN,,,,,,,,,,,,,2,18,3.5,21,42,10,,0,,,,,,,,,,,0,0
304353,DE,Brenton Cox,2021,Florida,FLUN,,,,,,,,,,,,,4,12,8.5,26,41,14.5,,0,,,,,,,,,,,,
304353,DE,Brenton Cox,2022,Florida,FLUN,,,,,,,,,,,,,1,9,2,15,35,8,,0,,,,,,,,,,,,
304444,DC,Chigozie Anusiem,2019,California,CAUN,,,,,,,,,,,,,5,0,0,9,15,0,,0,,,,,,,,,,,,
304444,DC,Chigozie Anusiem,2020,California,CAUN,,,,,,,,,,,,,0,0,0,9,12,0,,0,,,,,,,,,,,,
304444,DC,Chigozie Anusiem,2021,California,CAUN,,,,,,,,,,,,,2,0,0,12,13,0,,0,,,,,,,,,,,,
304444,DC,Chigozie Anusiem,2022,Colorado State,COST,,,,,,,,,,,,,9,1,0,19,36,1,,0,,,,,,,,,,,,
304444,DC,Chigozie Anusiem,2023,Colorado State,COST,,,,,,,,,,,,,2,0,0,35,57,2.5,1,0,,,,,,,,,,,,
304450,DE,Robert Beal Jr.,2018,Georgia,GAUN,,,,,,,,,,,,,0,1,1,7,15,1,,0,,,,,,,,,,,,
304450,DE,Robert Beal Jr.,2019,Georgia,GAUN,,,,,,,,,,,,,0,0,0,1,8,0.5,,0,,,,,,,,,,,,
304450,DE,Robert Beal Jr.,2021,Georgia,GAUN,,,,,,,,,,,,,2,2,6.5,12,23,7.5,,0,,,,,,,,,,,,
304450,DE,Robert Beal Jr.,2022,Georgia,GAUN,,,,,,,,,,,,,0,2,2.5,12,19,2.5,,0,,,,,,,,,,,0,0
304482,TE,Jelani Woods,2018,Oklahoma State,OKST,,,,,,,,,,8,2,135,,,,,,,,,,,,,,,,,,,,
304482,TE,Jelani Woods,2019,Oklahoma State,OKST,,,,,,,,,,16,1,112,0,0,0,1,1,0,,0,,,,,,,,,,,,
304482,TE,Jelani Woods,2020,Oklahoma State,OKST,,,,,,,1,5,0,8,1,129,0,0,0,1,1,0,,0,,,,,,,,,,,,
304482,TE,Jelani Woods,2021,Virginia,VAUN,,,,,,,1,1,0,44,8,598,,,,,,,,,,,,,,,,,,,1,0
304519,DC,Jaylin Williams,2018,Indiana,INUN,,,,,,,3,25,0,,,,2,0,1,19,22,1,1,0,,,,,,,,,,,,
304519,DC,Jaylin Williams,2019,Indiana,INUN,,,,,,,,,,,,,3,0,0,15,19,0,1,0,,,,,,,,,,,,
304519,DC,Jaylin Williams,2020,Indiana,INUN,,,,,,,,,,,,,1,2,1,26,30,2,4,0,,,,,,,,,,,1,1
304519,DC,Jaylin Williams,2021,Indiana,INUN,,,,,,,,,,,,,11,0,0,28,41,1,,0,,,,,,,,,,,,
304519,DC,Jaylin Williams,2022,Indiana,INUN,,,,,,,,,,,,,7,0,0,29,40,2.5,,0,,,,,,,,,,,0,0
304574,IB,Amari Burney,2018,Florida,FLUN,,,,,,,,,,,,,2,1,1,7,12,2,,0,,,,,,28,0,1,0,28,,
304574,IB,Amari Burney,2019,Florida,FLUN,,,,,,,,,,,,,1,0,0,20,37,0.5,1,0,,,,,,,,,,,0,0
304574,IB,Amari Burney,2020,Florida,FLUN,,,,,,,,,,,,,2,3,2,30,52,2.5,1,0,,,,,,,,,,,,
304574,IB,Amari Burney,2021,Florida,FLUN,,,,,,,,,,,,,3,0,0,25,44,2,,0,,,,,,,,,,,,
304574,IB,Amari Burney,2022,Florida,FLUN,,,,,,,,,,,,,4,3,4,38,71,9,2,0,,,,,,,,,,,0,0
